cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
8.48,538.6721184492111,0:00:06,64.29118537902832,0.0008182525634765,0,716.734375,746.55078125,697.9296875,4482.0,85.2007894976699,unary_r,6.3224,1,hg38,genomicranges,1000,10_000,merge,ok
8.18,498.9525500535965,0:00:05,166.08364963531494,0.0008182525634765,0,824.3798828125,828.640625,822.37890625,4569.8984375,85.75902028301527,unary_r,5.8181,1,hg38,genomicranges,1000,100_000,merge,ok
9.53,640.8047059774399,0:00:07,87.47298908233643,0.0008182525634765,0,873.7548828125,895.3203125,854.94921875,4630.68359375,89.96168149063823,unary_r,7.1231,1,hg38,genomicranges,1000,1_000_000,merge,ok
19.09,1593.694936275482,0:00:18,292.0631990432739,0.0008182525634765,0,1573.2177734375,1584.5078125,1568.4375,5323.1171875,87.85523157053181,unary_r,18.14,1,hg38,genomicranges,1000,10_000_000,merge,ok
7.899999999999999,480.9617058992386,0:00:05,64.29118537902832,0.0008182525634765,0,732.4228515625,762.09375,713.62890625,4497.48046875,85.5732683403958,unary_r,5.6205,1,proteome,genomicranges,10,10_000,merge,ok
8.67,562.9540623903275,0:00:06,110.275728225708,0.0008182525634765,0,823.1220703125,831.38671875,818.796875,4570.2421875,86.33401346645073,unary_r,6.5207,1,proteome,genomicranges,10,100_000,merge,ok
11.04,814.8130702495574,0:00:08,89.31925773620605,0.0008182525634765,0,897.115234375,926.609375,878.31640625,4662.390625,93.33560009823034,unary_r,8.7299,1,proteome,genomicranges,10,1_000_000,merge,ok
18.83,1573.9447433471682,0:00:22,310.5449628829956,0.0008182525634765,0,1205.0478515625,1213.91015625,1200.234375,4951.9609375,71.0581158165219,unary_r,22.1501,1,proteome,genomicranges,10,10_000_000,merge,ok
8.54,539.6460798978806,0:00:05,65.00283718109131,0.0008182525634765,0,816.052734375,825.671875,811.4375,4563.51953125,92.71362925832528,unary_r,5.8206,1,proteome,genomicranges,100,10_000,merge,ok
8.43,533.9683767795563,0:00:06,67.21757984161377,0.0008182525634765,0,823.9921875,832.01953125,819.78515625,4570.19140625,88.6357882874825,unary_r,6.0243,1,proteome,genomicranges,100,100_000,merge,ok
13.14,998.9118231773376,0:00:10,89.43745136260986,0.0008182525634765,0,897.1455078125,926.53125,878.33203125,4662.32421875,98.551873896765,unary_r,10.1359,1,proteome,genomicranges,100,1_000_000,merge,ok
18.43,1546.4283856153488,0:00:22,353.81499099731445,0.0008182525634765,0,1204.10546875,1212.765625,1199.7890625,4952.015625,68.57905059484762,unary_r,22.5496,1,proteome,genomicranges,100,10_000_000,merge,ok
7.92,479.3418478012084,0:00:05,64.29118537902832,0.0008182525634765,0,734.9482421875,764.4921875,716.171875,4499.828125,86.79417293859538,unary_r,5.5227,1,proteome,genomicranges,1000,10_000,merge,ok
8.49,533.47112865448,0:00:06,67.24380111694336,0.0008182525634765,0,823.16015625,831.86328125,818.29296875,4570.1796875,87.18447389038364,unary_r,6.1189,1,proteome,genomicranges,1000,100_000,merge,ok
10.08,694.9084389209747,0:00:07,89.78060913085938,0.0008182525634765,0,867.77734375,876.49609375,863.0390625,4614.95703125,88.84210508187526,unary_r,7.8218,1,proteome,genomicranges,1000,1_000_000,merge,ok
18.77,1567.577665996551,0:00:22,315.1019449234009,0.0008182525634765,0,1187.18359375,1216.59375,1168.375,4951.9453125,68.9102909175918,unary_r,22.7481,1,proteome,genomicranges,1000,10_000_000,merge,ok
8.01,479.92228338718417,0:00:05,64.31505870819092,0.0008182525634765,0,753.283203125,761.734375,748.828125,4499.86328125,85.39774082934329,unary_r,5.6198,1,hg38,genomicranges,10,10_000,cluster,ok
8.0,500.72875111103065,0:00:06,118.44766330718994,0.0008182525634765,0,825.19140625,830.30078125,823.0703125,4569.875,81.8505954760369,unary_r,6.1176,1,hg38,genomicranges,10,100_000,cluster,ok
10.68,765.9735581874849,0:00:08,154.7437744140625,0.0016899108886718,0,1100.248046875,1105.5078125,1097.6875,4845.21875,90.94782880409144,unary_r,8.4221,1,hg38,genomicranges,10,1_000_000,cluster,ok
18.9,1567.1262359380726,0:00:25,446.1716737747192,0.0008182525634765,0,1542.1962890625,1547.40234375,1540.0078125,5311.6328125,61.81920234691251,unary_r,25.3502,1,hg38,genomicranges,10,10_000_000,cluster,ok
7.899999999999999,478.3790459871292,0:00:05,64.29943370819092,0.0008182525634765,0,752.6923828125,761.3671875,748.02734375,4499.7890625,86.69474787574946,unary_r,5.518,1,hg38,genomicranges,100,10_000,cluster,ok
8.49,534.7723579406738,0:00:06,67.0173225402832,0.0008182525634765,0,822.78125,831.8203125,818.0078125,4569.90234375,85.98012550043796,unary_r,6.2197,1,hg38,genomicranges,100,100_000,cluster,ok
10.66,752.6983536481857,0:00:08,87.47030735015869,0.0008182525634765,0,1056.9091796875,1086.953125,1038.08984375,4825.83984375,93.80383437602543,unary_r,8.0242,1,hg38,genomicranges,100,1_000_000,cluster,ok
